CTC00000001	命名你的派系：
CTC00000002	沼泽人
CTC00000003	天启追随者卫兵
CTC00000004	天启追随者医生
CTC00000005	天启追随者技师
CTC00000006	天启追随者公社成员
CTC00000007	莫哈维定居者
CTC00000008	命名你的兄弟会探险队：
CTC00000009	放逐者守卫者
CTC00000010	命名你的放逐者探险队：
CTC00000011	铆钉城警卫
CTC00000012	鹰爪公司佣兵
CTC00000013	泽塔星人
CTC00000014	你没有卖出废金属。
CTC00000015	卖出[%]废金属，获得[%]瓶盖
CTC00000016	是否要以[%]瓶盖的价格卖出废金属？
CTC00000017	你没有废金属可卖。
CTC00000018	瓶盖不够！
CTC00000019	商队歇息处
CTC00000020	是否花费750瓶盖在旅馆购买这个房间？
CTC00000021	要为[%]宣称这座避难所吗？
CTC00000022	你确定要为[%]宣称避难所吗？[CRLF][CRLF]这个决定是永久性的。
CTC00000023	"[CRLF][CRLF]		注意，在你麾下的英克雷和你在首都废土遇到的英克雷并非同一派系。他们会拔枪相见。"
CTC00000024	这也意味着钢铁兄弟会以及其它英克雷的敌人不会攻击你的英克雷派系。
CTC00000025	"[CRLF][CRLF]		注意，在你麾下的鹰爪公司和你在首都废土遇到的鹰爪公司并非同一派系。他们会拔枪相见。"
CTC00000026	这也意味着钢铁兄弟会以及其它鹰爪公司的敌人不会攻击你的鹰爪公司派系。
CTC00000027	选择一个避难所编号（0 - 999）
CTC00000028	[%]号避难所 - 入口
CTC00000029	[%]号避难所 - 底层
CTC00000030	[%]号避难所 - 上层
CTC00000031	[%]号避难所 - 监督者房间
CTC00000032	避难所的一切正常信号已发送。[CRLF][CRLF][%]号避难所将作为你未来行动的指挥中心。[CRLF][CRLF]随着你探索废土，你可能发现可供[%]占领的新地点。你可以使用这个终端或者监督者办公室里的终端来投资这些地点，派遣占领部队。[CRLF][CRLF]你准备好帮助[%]巩固其在首都废土的地位了吗？
CTC00000033	发电机运转正常！
CTC00000034	水处理厂发电机
CTC00000035	水处理厂的发电机需要维修。
CTC00000036	需要一个新的蒸汽计。
CTC00000037	替换蒸汽计
CTC00000038	混修[CRLF]（需要65+修理）
CTC00000039	你没有蒸汽计！
CTC00000040	你的修理技能不够！
CTC00000041	发电机已被修复！水处理厂可以被启用了。
CTC00000042	水处理厂正在运转。
CTC00000043	随着电力的恢复，水处理厂已正常运行！
CTC00000044	出错！[CRLF][CRLF]必须先修复水处理厂发电机，才能启用设施！
CTC00000045	重建首都（Rebuild the Capital）和征服首都（Claim the Capital）不兼容。
CTC00000046	餐厅
CTC00000047	是否要花费[%]瓶盖解锁餐厅？
CTC00000048	宣称这个避难所？
CTC00000049	"	你可以为你选择的派系宣称这个避难所。"
CTC00000050	"[CRLF][CRLF]	宣称避难所后，它将作为你在首都废土未来计划的指挥中心。"
CTC00000051	里昂斯的兄弟会分部
CTC00000052	你要先加入兄弟会才能为他们宣称避难所。
CTC00000053	里昂斯的兄弟会分部[CRLF]（重建首都版）
CTC00000054	净水计划完成后铆钉城就可以宣称这座地堡。
CTC00000055	兄弟会放逐者
CTC00000056	你要先赢得放逐者的信任来加入他们。
CTC00000057	监管者
CTC00000058	你不是监管者的成员。
CTC00000059	豪斯先生
CTC00000060	由于你对豪斯先生的敌对行为，你不能为他宣称这座避难所。
CTC00000061	你必须帮豪斯先生升级他的电子保安军队，才能以他之名宣称这座避难所。
CTC00000062	你必须被NCR[%]喜爱[%]才能代表他们宣称地堡。
CTC00000063	NCR游骑兵
CTC00000064	好好先生和电子保安军队
CTC00000065	你需要帮好好先生确保对幸运38的控制，升级并启动位于要塞地下的电子保安军队，才能为好好先生宣称这座地堡。
CTC00000066	莫哈维兄弟会
CTC00000067	莫哈维兄弟会
CTC00000068	你必须被莫哈维兄弟会[%]喜爱[%]并且他们已经结束隐蔽，才能为他们宣称这个地堡。
CTC00000069	莱利的游骑兵目前无暇宣称避难所。
CTC00000070	马里波萨超级变种人
CTC00000071	===== 监督者终端 =====
CTC00000072	欢迎，监督者[CRLF] [%]
CTC00000073	[CRLF][CRLF]日期：[%]
CTC00000074	首都废土巡逻
CTC00000075	重命名地点
CTC00000076	侦查
CTC00000077	为避难所购买一个小队招募板[CRLF]（800瓶盖）
CTC00000078	== 首都废土投资 ==
CTC00000079	[CRLF]首都废土投资：[%]
CTC00000080	[CRLF][CRLF]没有可用投资[CRLF]
CTC00000081	= 安道尔 =
