GID00100001	问好
GID00100002	攻击
GID00100003	Hit
GID00100004	AttackResponse
GID00100005	KnockedBack
GID00100006	你能用这把老式泵动霰弹枪做什么吗？
GID00100007	<交易 65>
GID00100008	捅破它的锡罐，别挡我的路。[打架]
GID00100009	你是认真的？这里已经两百多年没有火车了。
GID00100010	当然，这里有一个。
GID00100011	我不工作了，我迷路了。我还是原路返回吧，再见！
GID00100012	接受道歉，我可以走了吗？
GID00100013	随你便。
GID00100014	我只是路过，你也是吗？
GID00100015	我只是想在这条路上领先一步，仅此而已。
GID00100016	我是当地的执法人员，我被派来检查这片区域。
GID00100017	你知道这些路有什么危险吗？
GID00100018	我们在这里讨论的是什么样的工作许可？
GID00100019	你没听到吗？整个世界和你珍贵的铁路都被毁了。
GID00100020	我说没有火车，没有火车，什么都没有！
GID00100021	听着，这里没有铁路，没有许可证，没有规定。都被摧毁了。
GID00100022	你还不明白吗？一切都消失了！
GID00100023	你一定是有个保险丝松动的金属鼻子，要不我挖个洞把你埋了好吗？
GID00100024	你的工作许可证在哪里？它的日期合适吗？
GID00100025	我试着和蓝光谈了谈，他什么都不告诉我，除非我买了东西。
GID00100026	我在寻找机会，但运气不太好。
GID00100027	你就不愿意跟我分享什么提示或建议吗？
GID00100028	我听说这一带有个避难所。
GID00100029	我想也许我该去看看。
GID00100030	这附近有什么值得看的吗？
GID00100031	这附近有很多掠夺者吗？
GID00100032	那...你为什么在这里呢？ 
GID00100033	只是检查一下一切正常，你有什么事吗？
GID00100034	我得确保这里没有麻烦，明白吗？
GID00100035	要么是我，要么是废土，伙计。
GID00100036	小心，你在这里不是朋友，而且你是腐败组织的一员
GID00100037	听着，你这个结痂的混蛋，在这里腐烂是一种严重的罪行，所以你最好开始合作。
GID00100038	我不打算在这里无缘无故地挑起争端，所以我今天要走了。
GID00100039	我觉得跟你说话是在浪费时间。
GID00100040	这是一次健康安全抽查，请出示你的工作许可证，最好是有效的。
GID00100041	哪儿也不去，只是四处看看。
GID00100042	[战斗]滚开，别挡我的路。
GID00100043	通过那扇门，要交什么税吗？
GID00100044	我们在说什么？100瓶盖够吗？？
GID00100045	给你，这是你的瓶盖......
GID00100046	[交易]你同意得太快了，这是20，我不会告诉你的指挥官你捞了油水的。
GID00100047	你真他妈倒霉，我不会付钱的。
GID00100048	别紧张，我只是现在没有那笔钱。
GID00100049	ZkbDoddsTalk36
GID00100050	<口才 65>
GID00100051	我要碰碰运气。
GID00100052	[NCR] 放轻松，我们站在同一边，你好吗？ 
GID00100053	那门的另一边是什么？
GID00100054	好吧，那就是我要走的路。
GID00100055	[可怕的存在]我想去哪里就去哪里，现在让我高兴，说“除非我死了”。
GID00100056	发生了什么事？
GID00100057	我的东西在哪里？
GID00100058	告诉你吧，让我出去，把我的东西还给我，你就不会再见到我了。
GID00100059	现在放我出去，不然我就把你们都杀了。
GID00100060	好吧，我搞砸了。我们能在这里做个交易吗？
GID00100061	我不是有心的。
GID00100062	好的，我在听。
GID00100063	更聪明？
GID00100064	它们被称为孢子携带者，我以前见过。
GID00100065	你怎么知道如果你放我出去，我不会逃走？
GID00100066	好吧，我加入，好像我有选择一样，不过我需要我的装备。
GID00100067	完成了，睡莲叶田里的那些东西都被清除了。
GID00100068	顺便问一下，这些垃圾是怎么回事？
GID00100069	好了，我结束了。
GID00100070	我想找一个地方睡觉，这是个旅馆吗？
GID00100071	一个笼子？一个房间的要求太高了吗？
GID00100072	我会再联系你的。
GID00100073	我要一张床的笼子。
GID00100074	我需要两张床的笼子。
GID00100075	我只需要一张床。
GID00100076	你做生意吗？ 
GID00100077	我能问你几个问题吗？
GID00100078	这边还有其他团体吗？
GID00100079	怎么会有这个地方呢？
GID00100080	这附近有避难所吗？
GID00100081	锡安离这里有多远？
GID00100082	这附近有NCR吗？
GID00100083	有没有遇到过凯撒军团？
GID00100084	你在这么北的地方听说过豪斯先生吗？
GID00100085	你见过大炮族吗？
GID00100086	在这一带看到过钢铁兄弟会吗？
GID00100087	这附近有天启追随者吗？
