GID99999990	能量步枪
GID99999991	人民之友
GID99999992	分辨率
GID99999993	瓶盖
GID00030430	触发
GID00030432	正义卫士
GID00030434	你的饥饿程度上升了
GID00030435	播放音频
GID00030436	数量
GID00030438	武器
GID00030439	秩序的象征
GID00030440	自己
GID00030441	版本信息
GID00030442	男性
GID00030443	和平先驱
GID00030444	存档已删除
GID00030445	携带物品过多，跑不动了！
GID00030447	眼眶
GID00030449	颧骨 窄/宽
GID00030450	辐射/秒
GID00030451	返回
GID00030452	你不能入侵这台电脑
GID00030453	人类最后的希望
GID00030454	对话音量
GID00030455	乱世的救星
GID00030456	快速存档
GID00030458	赢/输总局数：
GID00030459	十二月
GID00030461	光线淡出
GID00030462	电影特效
GID00030464	下颚 小/大
GID00030467	发牌
GID00030468	你不能在攻击时更换护具
GID00030469	下最大注
GID00030471	快速
GID00030472	小时
GID00030474	原料无效果
GID00030475	包含可下载内容的存储设备已被移除，现在回到标题画面
GID00030476	状态未受影响
GID00030478	移除
GID00030479	秒
GID00030482	已拾取
GID00030489	虽然你为社区做了些好事，但人们还是觉得你是个小流氓
GID00030490	须
GID00030492	需求
GID00030493	左摇杆 右
GID00030494	取消交易？
GID00030501	你确定要载入这个游戏吗？
GID00030502	皮肤色调 紫色/黄色
GID00030503	物品
GID00030505	［隐蔽］
GID00030507	你的生命值已满
GID00030508	警告：未保存进度将会丢失
GID00030509	你想花多长时间来
GID00030512	嘴唇 薄/厚
GID00030514	填装
GID00030516	世界地图
GID00030517	心软的魔鬼
GID00030519	狂乱
GID00030520	右摇杆 上
GID00030521	你患上了
GID00030522	你已经被禁止在这所赌场里赌博了
GID00030524	下注
GID00030528	眉毛 高处 暗/亮
GID00030529	左摇杆 上
GID00030530	此锁已经损坏
GID00030532	等级
GID00030533	生命值
GID00030534	附加效果
GID00030536	其他
GID00030537	生命
GID00030538	行动
GID00030541	解除地雷
GID00030542	使用
GID00030543	你已经染上了
GID00030544	秒伤
GID00030545	返回
GID00030547	开始
GID00030548	右摇杆 右
GID00030549	自动前进
GID00030550	此存档已损坏，不可读取
GID00030553	这名NPC已无法帮助您进行训练了
GID00030554	颌 宽/窄
GID00030556	音乐音量
GID00030557	选项
GID00030558	当敌人在附近时你不能修理物品
GID00030560	移除
GID00030561	简单
GID00030562	十字钮 下
GID00030563	放弃游戏
GID00030565	显示可用内容
GID00030566	右摇杆 左
GID00030567	效果
GID00030568	随机生成您的头部
GID00030569	救世主
GID00030570	文件不存在
GID00030571	皮肤阴影 暗/亮
GID00030572	还剩 [%]个特质点数
GID00030573	你没有足够的瓶盖
GID00030574	子弹偏移
GID00030575	星期天
GID00030576	你赢了！
GID00030577	下载的内容
GID00030578	交谈
GID00030579	持续受伤时你不能进行快速旅行
GID00030580	颌骨线条 凹/凸
GID00030581	好
GID00030582	秒
GID00030583	目标耐力
GID00030584	罗科工业公司标准操作系统
GID00030586	输入角色姓名
GID00030587	下颚 缩回/伸出
GID00030588	资料
GID00030589	生命
GID00030591	版权所有 2075-2077 罗科工业公司
GID00030592	野孩子
GID00030594	你感觉很幸运，你赢了
GID00030595	（不再使用）
GID00030596	盗窃
GID00030597	你的左腿残废了
GID00030598	移动
GID00030599	因为你骇人听闻的可怕行径，你被这个群体所唾弃
GID00030600	五月
GID00030601	你不能在当前地点进行快速旅行
GID00030602	额 小/大
GID00030603	 弹药
GID00030604	打开
GID00030605	你摆脱了睡眠不足的困扰
GID00030606	护甲
GID00030607	黑暗英雄
GID00030608	您不能在游戏暂停时快速读取
GID00030609	任务更新
GID00030610	需要钥匙
GID00030613	为使用与账户关联的下载内容，你必须重启
GID00030614	你想设置一个标记吗？
GID00030615	血统
GID00030616	你不能在战斗中进行快速旅行！
GID00030617	致命一击特写
GID00030619	目标效果
GID00030620	存档已被使用
GID00030621	等待时存档
GID00030622	眼眶 暗/亮
GID00030623	你因长时间未摄入[%]而产生了戒断反应
GID00030624	杂物
GID00030626	锁定
GID00030627	你的辐射等级上升了
GID00030628	维护
GID00030629	选择最多 [%] 个特质（也可不选）
GID00030630	弹药
GID00030631	［危险］
GID00030632	护甲等级
GID00030633	你的脱水程度上升了
GID00030634	重新读取最近的存档
GID00030636	你选择的存储设备已不可用，取消读档
GID00030638	将您的按键设置恢复为默认吗？
GID00030640	封顶等级
GID00030641	剩余
GID00030642	睡眠
GID00030643	红色调
GID00030644	中型
GID00030645	因为你乐于助人的天性，人们接受了你
GID00030646	正在逃命
GID00030648	亮/暗
GID00030649	收到[%]信号
GID00030650	输掉瓶盖总数：
GID00030651	脸颊 亮/暗
GID00030652	难以预料
GID00030653	您不能在游戏暂停时快速保存
GID00030654	加倍
GID00030655	络腮胡 亮/暗
GID00030656	山羊胡 亮/暗
GID00030657	技能提升
GID00030659	[%]技能
GID00030660	你的辐射病已经痊愈了
GID00030661	致命偷袭成功
GID00030662	致命一击
GID00030663	胡
GID00030664	嘴唇
GID00030665	还原
GID00030666	红 亮/红
GID00030667	总体（皮肤）
GID00030668	你对这项技能有了基本的了解
GID00030669	青肿/明亮
GID00030670	打开
GID00030671	右摇杆 左
GID00030672	准备/填装
GID00030673	暗/亮
GID00030674	清单
GID00030675	办理
GID00030676	＜丢失姓名＞
GID00030677	被卸下
GID00030678	增加
GID00030679	瞄准
GID00030680	硬核模式
GID00030681	［空］
GID00030682	按下
GID00030683	晃动
GID00030684	你在玩游戏之前必须先购买筹码
GID00030685	技能降低
GID00030686	盲流
GID00030687	请为该动作设置新的按键
GID00030688	变节者
GID00030689	眼影 亮/暗
GID00030690	你仁义好施的行为赢得了尊重，这个群体普遍都崇拜你
GID00030691	探索者
GID00030692	眼睑
GID00030693	已装备
GID00030694	流浪者
GID00030695	坐下
GID00030696	你感觉运气不佳，你输了
GID00030697	鼻唇线 亮/暗
GID00030698	分配１技能点数
GID00030699	平民
GID00030700	游戏杆下－左
GID00030701	毒药
GID00030702	探险家
GID00030703	您想做什么？
GID00030704	未知效果
GID00030705	保存失败
GID00030706	你没有足够的空间来丢下这件物品
GID00030707	修理全部 ([%])
GID00030708	废土浪人
GID00030709	要玩商队牌至少要有30张卡牌
GID00030710	-5号服务器-
GID00030711	雇佣兵
GID00030712	自动
GID00030713	方向键
GID00030715	您不能为损坏的物品设置热键
GID00030716	沙漠拾荒者
GID00030717	物体细节淡出
GID00030718	鼻梁 短/长
GID00030719	她
GID00030721	丢弃
GID00030722	损坏
GID00030723	嘴 张开/闭合
GID00030724	买入
GID00030725	您必须退出并重启《辐射：新维加斯》以让新的设置生效
GID00030726	女性
GID00030727	皇帝诞辰
GID00030729	治疗
GID00030730	Xbox360控制器
GID00030733	你的追随者太多了
GID00030734	永久效果
GID00030735	您确定要删除这个存档？
GID00030736	你不能将任务物品移出你的物品栏
GID00030737	图片文件
GID00030739	升级
GID00030740	已添加笔记：[%]
GID00030741	光头
GID00030742	你不能吃掉任务物品
GID00030743	需要 [%] 修理技能
GID00030744	鼻 短/长
GID00030745	嘴
GID00030746	数量
GID00030747	创建
GID00030748	旧生节
GID00030749	非常简单
GID00030750	音量 +
GID00030751	正在读取...
GID00030752	下一个挑战类型
GID00030753	选择 [%] 个特长
GID00030754	导航
GID00030756	变种人大师
GID00030757	就这样开始服刑吗？
GID00030758	伤害挑战
GID00030759	已完成任务
GID00030760	你想旅行到
GID00030761	制作于…
GID00030762	关闭
GID00030764	目标
GID00030765	厚/薄
GID00030766	年龄
GID00030767	免伤
GID00030768	开始新游戏？
GID00030769	你不能在擅闯他人领地时睡觉
GID00030770	很薄/很厚
GID00030772	左摇杆 下
GID00030773	多少？
GID00030774	亮/暗（低处）
GID00030775	鼻
GID00030776	当前目标
GID00030778	你的
GID00030779	您选择的存储设备不再可用，下次存储时您需要选择一个新的设备，在此之前，无法使用自动保存功能
GID00030780	使用远程武器
GID00030781	亮/暗（外侧）
GID00030782	鼻根 下/上
GID00030784	暗/亮（高处）
GID00030785	不，继续玩
GID00030786	你的撬锁工具用尽
GID00030788	苍白/红润
GID00030789	武器
GID00030790	需求
GID00030791	年中庆典
GID00030792	中立
GID00030794	眼线 亮/暗
GID00030795	已经有一个明雷被安放在该敌人身上了
GID00030796	影 亮/暗
GID00030797	陷入了沉默，无法回答
GID00030799	拉
GID00030800	自动存档
GID00030801	深棕/浅蓝
GID00030802	价格
GID00030803	高
GID00030804	白 黯淡/明亮
GID00030805	难度
GID00030806	热键
GID00030808	有可用的新内容
GID00030809	喜爱
GID00030811	观察者
GID00030812	民意代表
GID00030813	刷新
GID00030814	前进
GID00030816	在完成当前动作前，你不能丢弃任何已装备物品
GID00030817	鼻 下/上
GID00030818	本地地图
GID00030819	看守者
GID00030820	失去知觉
GID00030822	第二组
GID00030825	琥珀色
GID00030826	重量
GID00030827	种
GID00030828	第二栽种节
GID00030829	莫哈维传说
GID00030831	游戏杆下－右
GID00030832	身体部分
GID00030833	邮差
GID00030834	您确定想让这个成为您的
GID00030835	生存大师
GID00030836	安保重置……
GID00030837	不
GID00030838	维加斯传说
GID00030839	废土行者
GID00030840	旅行
GID00030841	旁观者
GID00030843	赔率
GID00030845	废土守望者
GID00030846	鼻孔 向下倾斜/向上倾斜
GID00030847	颌
GID00030848	超人
GID00030849	偷袭
GID00030850	请稍候
GID00030851	可选特质：[%]/[%] 已选择
GID00030852	鼠标
GID00030853	红色
GID00030854	年龄
GID00030855	属性：[%]/[%] 点已分配
GID00030856	神秘
GID00030857	星期四
GID00030858	其它挑战
GID00030859	不能再携带更多物品
GID00030860	唇 红润/苍白
GID00030861	嘴颏距离 短/长
GID00030862	眼睛 下/上
GID00030864	目标伤害抗性
GID00030865	你没有找到任何有用的东西
GID00030866	枪械耐久
GID00030867	小丑节
GID00030868	自动尝试
GID00030869	道德值大幅降低！
GID00030870	无用信息移除
GID00030871	目标伤害豁免
GID00030872	已经发现你了
GID00030873	你的武器坏了
GID00030874	切换肢体
GID00030875	发色
GID00030876	接触
GID00030877	吸收
GID00030879	唾弃
GID00030880	模组
GID00030881	二月
GID00030883	你的左臂残废了
GID00030884	未知地点
GID00030885	无存档
GID00030886	控制
GID00030887	山羊胡程度 轻/重
GID00030888	放置标记
GID00030889	偷窃
GID00030890	筹码：
GID00030891	第三组
GID00030892	关闭
GID00030893	暗/亮
GID00030894	你尚未发现这一地点
GID00030895	保持跑步
GID00030896	无法保存设定，你的玩家档案不可用，请检查你的存储设备
GID00030897	深红/浅蓝
GID00030898	随机
GID00030899	自己
GID00030900	残废了
GID00030901	深蓝/浅红
GID00030902	幻术
GID00030904	玩世不恭的流氓
GID00030905	发射器
GID00030906	X轴灵敏度
GID00030907	界面透明度
GID00030908	你不能在空中进行等待
GID00030909	鼻唇线
GID00030910	左摇杆 下
GID00030911	鼻孔 小/大
GID00030912	星期五
GID00030913	在选项菜单的控制部分关闭360控制器才能转回到键盘和鼠标控制方式
GID00030914	肢体
GID00030916	草地淡出
GID00030917	渐变
GID00030918	你确定你想成为一个
GID00030919	蓝色调
GID00030920	眼睑 亮/暗
GID00030922	你确定你想成为一个
GID00030923	出口
GID00030924	黄色调
GID00030925	金色
GID00030926	取消
GID00030927	恢复
GID00030928	任务完成数量
GID00030929	<未绑定>
GID00030930	当敌人在附近时你不能进行等待
GID00030931	脸部 眉、鼻、颏 比例
GID00030932	已探索地点
GID00030933	你不能在攻击时更换武器
GID00030934	下午
GID00030935	魔法名称
GID00030936	杀死人类数量
GID00030937	你根本不可能命中它
GID00030939	眼线
GID00030940	拒绝访问
GID00030941	是
GID00030942	杀死野兽数量
GID00030943	左摇杆 右
GID00030944	游戏杆下
GID00030945	寻找内容中，请等待
GID00030946	卡牌数量：
GID00030947	成功开锁数量
GID00030948	普通
GID00030949	效果已添加，请转而编辑效果
GID00030950	眉毛 很薄/很厚
GID00030951	[%] 增加 [%]
GID00030952	电脑入侵数量
GID00030953	废土逆党
GID00030954	鼻区 凹/凸
GID00030955	热键
GID00030956	道德值小幅降低！
GID00030957	治疗针使用数量
GID00030958	赏金枪手
GID00030959	击发数
GID00030960	次
GID00030961	你想给你的下一击附加毒药
GID00030962	荷官正在检查轮盘角度有无倾斜，以防作弊
GID00030963	爆炸
GID00030964	女巫节
GID00030966	放射线-X使用数量
GID00030967	投机分子
GID00030968	疲惫
GID00030969	你不能在持续受伤时进行等待
GID00030970	取消配料？
GID00030971	辐特宁使用数量
GID00030972	自我中心
GID00030973	键盘
GID00030974	自动匹配
GID00030975	上勾拳
GID00030976	你给这个群体留下的印象很差，也许会因此而被冷落
GID00030977	药物服用数量
GID00030978	独行侠
GID00030979	勾拳
GID00030980	疾病
GID00030981	雇佣英雄
GID00030982	减少
GID00030983	中等
GID00030985	八月
GID00030986	模范路人甲
GID00030987	避难所科技辅助瞄准系统
GID00030988	你输了！
GID00030989	这台机器似乎正在进行重置，以防作弊
GID00030990	指挥同伴
GID00030991	钥匙环
GID00030992	文质彬彬
GID00030993	暂停
GID00030994	胡须覆盖面颊程度 轻/重
GID00030995	财迷
GID00030996	此存档使用的主文件未加载，将返回到游戏中
GID00030997	红色
GID00030998	脸颊 圆滑/细长
GID00030999	灰色陌生人
GID00031000	胡须 轻/重
GID00031001	冬季
GID00031002	被动
GID00031003	当前任务
GID00031004	无可用的新内容
GID00031005	奇数
GID00031006	种族
GID00031007	无人种
GID00031008	损坏的物品在修好前无法装备
GID00031009	反射淡出
GID00031010	级别
GID00031011	此门不通
GID00031012	你的躯干受伤了
GID00031013	你不能在超重时进行快速旅行
GID00031014	下颚 浅/深
GID00031015	白色
GID00031016	攻击
GID00031017	十字钮 上
GID00031019	给养
GID00031020	2比1
GID00031021	无可用零件
GID00031022	物体淡出
GID00031023	你睡眠不足的情况变得严重了
GID00031024	目前赌注：
GID00031026	改变物品选择
GID00031027	你杀死了超级变种人——杀了很多
GID00031028	金色
GID00031029	新生节
GID00031034	＜未绑定＞
GID00031036	此存档不再有效，将返回游戏
GID00031037	按老虎机的任意有效键继续
GID00031038	紫檀色
GID00031039	应用
GID00031040	黑色
GID00031041	任务已添加
GID00031042	毁灭
GID00031044	你输了
GID00031045	栗色
GID00031046	十月
GID00031047	十字钮上
GID00031048	青灰色
GID00031049	眉毛 厚/薄
GID00031050	九月
GID00031051	切换视角
GID00031052	使用
GID00031053	香槟色
GID00031054	删除此存档？
GID00031055	显示
GID00031056	选择用于修理的物品
GID00031057	丰收节
